Ime i prezime|Radno mjesto|Datum pocetka rada|Odjel|Koeficijent place (postoci)|Bonus (postoci)|Ulica|Mjesto|Pbr|Titula
Micah Walsh|Docent|21/04/1971|Brodogradnja|166|17|9720 Molestie Av.|Fl.|5629DU|dipl.ing
Micah Walsh|Docent|21/04/1971|Brodogradnja|166|17|9720 Molestie Av.|Fl.|5629DU|mr.sc
Micah Walsh|Docent|21/04/1971|Brodogradnja|166|17|9720 Molestie Av.|Fl.|5629DU|dr.sc
Travis Santiago|Docent|28/04/1978|Brodogradnja|190|39|7647 Enim. Ave|Fl.|9091PE|mr.sc
Hammett Mckenzie|Profesor|11/11/1982|Strojarstvo|116|38|3104 Erat St.|N.-H.|5107FH|mr.sc
Cody Scott|Novak|05/03/1978|Brodogradnja|112|26|Ap #277-6387 Dapibus Rd.|N.-Br.|8702LP|dipl.ing
Emery Neal|Docent|15/03/1999|Elektronika|171|26|P.O. Box 570, 1529 Lacus. Ave|Zld.|6203RY|dr.sc
Cole Mclaughlin|Profesor|12/05/1974|Brodogradnja|190|37|Ap #939-3007 Ante Avenue|Overijssel|8846IC|mr.sc
Hoyt Morales|Docent|05/09/1974|Brodogradnja|159|18|Ap #297-8594 Et St.|Flevoland|4339UE|mr.sc
Sylvester Bennett|Profesor|11/01/1973|Strojarstvo|175|27|Ap #451-4991 Ultricies Street|N.-H.|4828NS|dr.sc
Lionel Woods|Docent|17/11/2005|Strojarstvo|160|42|668-8381 Mi Road|Zeeland|4404QN|dr.sc
Gabriel Rasmussen|Novak|16/10/1991|Brodogradnja|169|36|P.O. Box 450, 4457 Sodales Rd.|Z.-H.|6851JY|dr.sc
Gavin Cole|Docent|03/07/2000|Brodogradnja|175|46|742-6629 Id, St.|Groningen|7745JB|dipl.ing
Carlos Porter|Asistent|28/09/1974|Brodogradnja|113|45|800-3808 Metus Rd.|Z.-H.|4032RD|mr.sc
Marvin Franklin|Asistent|21/10/2004|Elektronika|103|13|P.O. Box 185, 1472 Sem Street|Noord Brabant|9657RB|mr.sc
Dalton King|Docent|24/05/1985|Elektronika|178|47|Ap #773-2169 Neque. St.|Dr.|1235BG|dr.sc
Alec Wall|Novak|04/01/1972|Strojarstvo|114|16|Ap #765-9033 Sem Avenue|U.|0212AH|dr.sc
Sean Mcdonald|Asistent|21/09/1984|Brodogradnja|196|29|1593 Adipiscing Avenue|Zuid Holland|5013QF|dipl.ing
